state,lga,ward,zone,health_facility_full_name,geo_coordinate,latitude,longitude,altitude,is_operational,alternate_facility_name_details,facility_type
BENUE,ADO,OGEGE,NORTH CENTRAL,Rijo Primary Health Centre,SRID=4326;POINT (8.0403416 6.8617625),6.8617625,8.0403416,81.43365479,False,,PHC (Primary Health Centre)
BENUE,ADO,IGUMALE,NORTH CENTRAL,Igumale Primary Health Centre,SRID=4326;POINT (7.9661542 6.7916799),6.7916799,7.9661542,112.0565186,False,,PHC (Primary Health Centre)
BENUE,ADO,ETENYI,NORTH CENTRAL,Etenyi Primary Health Centre,SRID=4326;POINT (7.967154 6.8058482),6.805848200000001,7.967153999999999,123.48200000000001,False,,PHC (Primary Health Centre)
BENUE,ADO,AKOGE/OGBILOLO,NORTH CENTRAL,Agila Primary Health Centre,SRID=4326;POINT (7.9160513 6.6031442),6.603144199999999,7.9160512999999995,129.423,False,,PHC (Primary Health Centre)
BENUE,ADO,UKWONYO,NORTH CENTRAL,Utonkon Comprehensive Health Centre,SRID=4326;POINT (8.0355284 6.9509875),6.9509875,8.0355284,119.78515630000001,False,,CHC (Comprehensive Health Centre)
BENUE,ADO,ULAYI,NORTH CENTRAL,Ulayi Primary Health Centre,SRID=4326;POINT (8.0423144 6.7745816),6.774581599999999,8.0423144,87.99475098,False,,PHC (Primary Health Centre)
BENUE,ADO,EKILE,NORTH CENTRAL,Ekile Primary Health Centre,SRID=4326;POINT (8.1277913 6.8365215),6.8365215,8.1277913,103.6670532,False,,PHC (Primary Health Centre)
BENUE,ADO,IJIGBAN,NORTH CENTRAL,Ijigban Primary Health Centre,SRID=4326;POINT (8.0846876 6.77536),6.775360000000001,8.084687599999999,97.0390625,False,,PHC (Primary Health Centre)
BENUE,ADO,ROYONGO,NORTH CENTRAL,Udebo-Ojenyo Primary Health Centre,SRID=4326;POINT (8.1004666 6.9689435),6.9689435,8.100466599999999,85.36230469,False,,PHC (Primary Health Centre)
BENUE,ADO,AGILA/IGUMALE II,NORTH CENTRAL,Fsp Aganacha Primary Health Centre,SRID=4326;POINT (7.901073 6.6586028),6.658602799999999,7.901072999999999,137.6,True,,PHC (Primary Health Centre)
BENUE,ADO,ROYONGO,NORTH CENTRAL,Adochi Primary Health Centre,SRID=4326;POINT (8.0882458 6.932381),6.9323809999999995,8.0882458,95.05310059,True,,PHC (Primary Health Centre)
BENUE,ADO,EKILE,NORTH CENTRAL,Alomo Primary Health Centre,SRID=4326;POINT (8.2373368 6.8043264),6.804326400000001,8.2373368,93.07659912,True,,PHC (Primary Health Centre)
BENUE,ADO,ETENYI,NORTH CENTRAL,Etenyi 2 Primary Health Centre,SRID=4326;POINT (8.0048538 6.8220593),6.822059299999999,8.0048538,131.98413090000003,True,,PHC (Primary Health Centre)
BENUE,ADO,OGEGE,NORTH CENTRAL,Ikara Primary Health Centre,SRID=4326;POINT (8.1021224 6.8990885),6.8990884999999995,8.1021224,92.20330811,True,,PHC (Primary Health Centre)
BENUE,ADO,OGEGE,NORTH CENTRAL,Ikpomilokpo Primary Health Centre,SRID=4326;POINT (8.0544212 6.9251978),6.9251978,8.0544212,119.18780520000001,True,,PHC (Primary Health Centre)
BENUE,ADO,ULAYI,NORTH CENTRAL,Inikiri Primary Health Centre,SRID=4326;POINT (8.053112 6.7738974),6.7738974,8.053111999999999,81.13177490000001,True,,PHC (Primary Health Centre)
BENUE,ADO,UKWONYO,NORTH CENTRAL,Ndekuma Primary Health Centre,SRID=4326;POINT (8.0597994 6.9413696),6.9413696,8.059799400000001,124.4645996,True,,PHC (Primary Health Centre)
BENUE,ADO,IJIGBAN,NORTH CENTRAL,Nwedoga Primary Health Centre,SRID=4326;POINT (8.1165261 6.7297203),6.729720299999999,8.1165261,169.87939450000002,True,,PHC (Primary Health Centre)
BENUE,ADO,IJIGBAN,NORTH CENTRAL,Nsura Primary Health Centre,SRID=4326;POINT (8.1424207 6.7372914),6.7372914,8.142420699999999,129.0021362,False,,PHC (Primary Health Centre)
BENUE,ADO,OGEGE,NORTH CENTRAL,Ogi Primary Health Centre,SRID=4326;POINT (8.0351785 6.8788178),6.8788178,8.0351785,128.8876953,True,,PHC (Primary Health Centre)
BENUE,ADO,ROYONGO,NORTH CENTRAL,Ojenyo Centre Primary Health Centre,SRID=4326;POINT (8.1323099 6.9735173),6.973517299999999,8.132309900000001,114.06872560000001,True,,PHC (Primary Health Centre)
BENUE,ADO,UKWONYO,NORTH CENTRAL,Ojije Primary Health Centre,SRID=4326;POINT (8.0829277 6.9884559),6.988455900000001,8.0829277,101.8614502,True,,PHC (Primary Health Centre)
BENUE,ADO,OGEGE,NORTH CENTRAL,Olukpo Primary Health Centre,SRID=4326;POINT (8.096997 6.887415),6.887415,8.096997,110.55859380000001,True,,PHC (Primary Health Centre)
