state,lga,ward,zone,health_facility_full_name,geo_coordinate,latitude,longitude,altitude,is_operational,alternate_facility_name_details,facility_type
TARABA,IBI,DAMPAR I,NORTH EAST,Dampar Primary Health Centre,SRID=4326;POINT (10.1342317 8.53486),8.53486,10.134231699999999,93.4,True,Dampar Model PHCC,PHC (Primary Health Centre)
TARABA,ARDO KOLA,SUNKANI,NORTH EAST,Sunkani Town Clinic,SRID=4326;POINT (11.2619829 8.6978344),8.6978344,11.2619829,265.5,True,Sunkani Phcc,PHC (Primary Health Centre)
TARABA,DONGA,FADA,NORTH EAST,Gidan-Maimagani Primary Health Centre,SRID=4326;POINT (10.0540785 7.766329),7.766328999999999,10.054078500000001,149.6,True,,PHC (Primary Health Centre)
TARABA,SARDAUNA,GEMBU B,NORTH EAST,Leme Fuah Health Facility,SRID=4326;POINT (11.2081206 6.7508807),6.7508807,11.208120599999999,1547.0,True,Leme Fuah phcc,PHC (Primary Health Centre)
TARABA,IBI,DAMPAR III,NORTH EAST,Maji Biyu Primary Health Centre,SRID=4326;POINT (9.87297 8.4784717),8.478471699999998,9.87297,130.4,True,,PHC (Primary Health Centre)
TARABA,TAKUM,DUTSE,NORTH EAST,Dutse Primary Health Centre,SRID=4326;POINT (9.9960233 7.269437),7.269437,9.996023300000001,268.829,True,,PHC (Primary Health Centre)
TARABA,GASHAKA,SERTI A,NORTH EAST,Hammangabdo Primary Health Centre,SRID=4326;POINT (11.3656446 7.5030252),7.503025200000001,11.3656446,306.2,True,,PHC (Primary Health Centre)
TARABA,KARIM LAMIDO,AMAR,NORTH EAST,Amar Primary Health Centre,SRID=4326;POINT (10.3533077 8.6923301),8.6923301,10.353307699999998,132.13,True,,BHC (Basic Health Centre)
TARABA,USSA,FIKYU,NORTH EAST,Fikyu-Nyim Primary Health Centre,SRID=4326;POINT (10.0048028 7.0819026),7.081902599999999,10.0048028,227.5,True,,PHC (Primary Health Centre)
TARABA,KURMI,ASHUKU/ENEME,NORTH EAST,Ashuku Primary Health Centre,SRID=4326;POINT (10.6720998 7.1460631),7.146063099999999,10.6720998,253.0,True,,PHC (Primary Health Centre)
TARABA,ARDO KOLA,TAU,NORTH EAST,Tau Primary Health Centre,SRID=4326;POINT (11.0696538 9.0361596),9.0361596,11.0696538,112.0,True,,PHC (Primary Health Centre)
TARABA,KARIM LAMIDO,KARIM A,NORTH EAST,Karim Primary Health Centre,SRID=4326;POINT (11.1991458 9.3161835),9.316183500000001,11.199145800000002,122.8,True,Karim Comprehensive Health Centre,PHC (Primary Health Centre)
TARABA,GASHAKA,GASHAKA,NORTH EAST,Gashaka Primary Health Centre,SRID=4326;POINT (11.4855033 7.36542),7.365419999999999,11.485503300000001,346.8,True,,PHC (Primary Health Centre)
TARABA,BALI,TAKALAFIYA,NORTH EAST,Taka Lafiya Primary Health Centre,SRID=4326;POINT (10.6857883 8.0942083),8.0942083,10.6857883,244.1,True,,PHC (Primary Health Centre)
TARABA,TAKUM,BETE,NORTH EAST,Bete Primary Health Centre,SRID=4326;POINT (9.7167725 6.983544),6.983544,9.716772500000001,247.43599999999998,True,,PHC (Primary Health Centre)
TARABA,SARDAUNA,NGUROJE,NORTH EAST,Nguroje Model Dispensary,SRID=4326;POINT (11.1115086 6.9659438),6.9659438,11.111508599999999,1587.4,True,,PHC (Primary Health Centre)
TARABA,KARIM LAMIDO,KARIM B,NORTH EAST,Kodai Primary Health Centre,SRID=4326;POINT (11.1741567 9.4266683),9.426668300000001,11.1741567,261.7,True,Kodei PHCC,PHC (Primary Health Centre)
TARABA,USSA,KWAMBAI,NORTH EAST,Kwanbai Primary Health Centre,SRID=4326;POINT (9.9192675 7.1733639),7.173363900000001,9.9192675,277.10000610000003,True,Kwambai PHCC,PHC (Primary Health Centre)
TARABA,DONGA,GAYAMA,NORTH EAST,Gayama Primary Health Centre,SRID=4326;POINT (10.3967433 7.3944715),7.3944715,10.3967433,308.2,True,GAYAMA WARD,PHC (Primary Health Centre)
TARABA,USSA,KPAMBO,NORTH EAST,Kpambo R About Primary Health Centre,SRID=4326;POINT (9.9924794 7.176406),7.176406,9.9924794,287.122,True,,PHC (Primary Health Centre)
TARABA,SARDAUNA,MAGU,NORTH EAST,Zongo Ajah Dispensary,SRID=4326;POINT (11.0042039 6.9926509),6.9926509,11.0042039,1402.0,True,Zongo Ajiya phcc,PHC (Primary Health Centre)
TARABA,JALINGO,BARADE,NORTH EAST,New Barade Health Centre,SRID=4326;POINT (11.3446155 8.9094469),8.909446899999999,11.3446155,268.0,True,,PHC (Primary Health Centre)
TARABA,LAU,JIMLARI,NORTH EAST,Jimlari Health Centre,SRID=4326;POINT (11.4408353 9.0699221),9.0699221,11.4408353,370.22900000000004,True,,PHC (Primary Health Centre)
TARABA,TAKUM,FETE,NORTH EAST,Tampa Primary Health Centre,SRID=4326;POINT (9.8215431 7.0845084),7.0845084,9.8215431,316.38,True,,PHC (Primary Health Centre)
TARABA,SARDAUNA,MBAMNGA,NORTH EAST,Mbamnga Maternity Centre,SRID=4326;POINT (11.2116433 6.6240767),6.624076700000001,11.2116433,1516.8,True,,PHC (Primary Health Centre)
TARABA,TAKUM,SHIBONG,NORTH EAST,Bariki Lissa Primary Health Centre,SRID=4326;POINT (9.8743565 6.9227124),6.922712400000001,9.874356500000001,-4.55,True,,PHC (Primary Health Centre)
TARABA,GASHAKA,GARBABI,NORTH EAST,Garbabi Primary Health Centre,SRID=4326;POINT (11.0386917 7.8336317),7.8336317,11.0386917,188.8,True,,PHC (Primary Health Centre)
TARABA,USSA,LISSAM I,NORTH EAST,Costine Primary Health Centre,SRID=4326;POINT (10.0527991 7.195665),7.195664999999999,10.0527991,277.4,True,,PHC (Primary Health Centre)
TARABA,GASHAKA,GALUMJINA,NORTH EAST,Gamen Primary Health Centre,SRID=4326;POINT (11.4074514 7.5689257),7.568925699999999,11.407451400000001,345.6,True,,PHC (Primary Health Centre)
TARABA,ZING,ZING A I,NORTH EAST,Zing Township Primary Health Centre,SRID=4326;POINT (11.7464356 8.9896614),8.989661400000001,11.7464356,539.0,True,Zing PHCC,PHC (Primary Health Centre)
TARABA,USSA,LISSAM II,NORTH EAST,Lissam 11 Primary Health Centre,SRID=4326;POINT (10.0287183 7.2031467),7.2031467000000005,10.028718300000001,253.5,True,Sabon Gida lissam phcc,PHC (Primary Health Centre)
TARABA,USSA,LUMBU/KPAKYA,NORTH EAST,Lumbu Rikwenrika Maternal Child Health Health Centre,SRID=4326;POINT (10.0815989 7.097283),7.097283,10.0815989,312.1,True,Lumbu Rikwenrika phcc,PHC (Primary Health Centre)
TARABA,SARDAUNA,GEMBU A,NORTH EAST,Ngiah Dispensary,SRID=4326;POINT (11.2782933 6.6891367),6.6891367,11.2782933,1352.6,True,,PHC (Primary Health Centre)
TARABA,BALI,GANG MATA,NORTH EAST,Pamanga Primary Health Centre,SRID=4326;POINT (11.2372583 8.6055716),8.6055716,11.2372583,272.4,True,,PHC (Primary Health Centre)
TARABA,YORRO,PANTI SAWA I,NORTH EAST,Pantisawa Primary Health Centre,SRID=4326;POINT (11.5129032 8.946474),8.946474,11.512903199999998,457.186,True,,PHC (Primary Health Centre)
TARABA,KURMI,BISSAULA,NORTH EAST,Gatari Primary Health Centre,SRID=4326;POINT (10.4005753 7.0930356),7.0930356,10.400575300000002,257.0,True,,PHC (Primary Health Centre)
TARABA,YORRO,NYAJA I,NORTH EAST,Nyaja Primary Health Centre,SRID=4326;POINT (11.5777606 8.8935309),8.8935309,11.5777606,522.717,True,,PHC (Primary Health Centre)
TARABA,JALINGO,MAJIDADI,NORTH EAST,Mafindi Primary Health Centre,SRID=4326;POINT (11.3521282 8.8916966),8.8916966,11.3521282,212.007,True,,PHC (Primary Health Centre)
TARABA,DONGA,ASIBITI,NORTH EAST,Ananum Primary Health Centre,SRID=4326;POINT (10.2150418 7.6419241),7.6419241,10.2150418,251.8,True,,PHC (Primary Health Centre)
TARABA,KARIM LAMIDO,ANDAMI,NORTH EAST,Andamin Primary Health Centre,SRID=4326;POINT (10.8092594 9.2380386),9.2380386,10.8092594,-72.9,True,,PHC (Primary Health Centre)
TARABA,SARDAUNA,NDUMYAJI,NORTH EAST,Ndum Yaji Dispensary,SRID=4326;POINT (11.1010119 6.5647766),6.5647766,11.101011900000001,1260.1,True,Ndumyaji phcc,PHC (Primary Health Centre)
TARABA,IBI,NWONYO II,NORTH EAST,Ibi Township Primary Health Centre,SRID=4326;POINT (9.74451 8.1868983),8.1868983,9.74451,112.6,True,,PHC (Primary Health Centre)
TARABA,IBI,NWONYO II,NORTH EAST,Unguwan Kabawa Ibi Primary Health Centre,SRID=4326;POINT (9.7395283 8.1827733),8.1827733,9.739528300000002,248.3,True,,PHC (Primary Health Centre)
TARABA,KURMI,BENTE/GALEA,NORTH EAST,Bente Primary Health Centre,SRID=4326;POINT (10.6789882 7.2831554),7.2831554,10.6789882,253.0,True,,PHC (Primary Health Centre)
TARABA,JALINGO,KONA,NORTH EAST,Kona Primary Health Centre,SRID=4326;POINT (11.3295703 8.9775413),8.9775413,11.3295703,46.5,True,,PHC (Primary Health Centre)
TARABA,KURMI,NDAFORO/GWANDA,NORTH EAST,Ndafaro Primary Health Centre,SRID=4326;POINT (10.6188996 7.1958665),7.195866499999999,10.6188996,232.0,True,,PHC (Primary Health Centre)
TARABA,JALINGO,TURAKI B,NORTH EAST,Sabon Gari Primary Health Centre Centre,SRID=4326;POINT (11.3829689 8.8802955),8.8802955,11.3829689,205.769,True,,PHC (Primary Health Centre)
TARABA,ARDO KOLA,LAMIDO BORNO,NORTH EAST,Lamido Borno Primary Health Centre,SRID=4326;POINT (11.3097436 8.8390248),8.8390248,11.309743600000001,223.5,True,,PHC (Primary Health Centre)
TARABA,IBI,SARKIN KUDU II,NORTH EAST,Sabon Layi Primary Health Centre,SRID=4326;POINT (9.6916067 8.324585),8.324585,9.6916067,109.0,True,,PHC (Primary Health Centre)
TARABA,WUKARI,KENTE,NORTH EAST,Kente Primary Health Centre,SRID=4326;POINT (9.4836235 7.8962587),7.8962587,9.4836235,126.5,True,,PHC (Primary Health Centre)
TARABA,DONGA,KADARKO,NORTH EAST,Kadarko Primary Health Centre,SRID=4326;POINT (10.2115647 7.8107266),7.810726600000001,10.2115647,186.5,True,,PHC (Primary Health Centre)
TARABA,DONGA,AKATE,NORTH EAST,Akate Primary Health Centre,SRID=4326;POINT (10.0258266 7.7293104),7.729310400000001,10.0258266,234.4,True,AKATE PHCC,PHC (Primary Health Centre)
TARABA,YORRO,PUPULE II,NORTH EAST,Mika Primary Health Centre,SRID=4326;POINT (11.6471744 9.0057576),9.0057576,11.6471744,544.2330000000001,True,Mika Mararraba PHCC,PHC (Primary Health Centre)
TARABA,WUKARI,HOSPITAL,NORTH EAST,Wapanghaku Primary Health Centre,SRID=4326;POINT (9.7709265 7.8615973),7.8615973,9.7709265,194.1165771,True,,PHC (Primary Health Centre)
